Dia,Mês,Ano,Preço
1,1,2021,29.360
2,1,2021,32.193
3,1,2021,32.959
4,1,2021,32.023
5,1,2021,33.992
6,1,2021,36.793
7,1,2021,39.460
8,1,2021,40.599
9,1,2021,40.152
10,1,2021,38.192
11,1,2021,35.544
12,1,2021,34.076
13,1,2021,37.382
14,1,2021,39.176
15,1,2021,36.846
16,1,2021,36.020
17,1,2021,35.840
18,1,2021,36.613
19,1,2021,36.003
20,1,2021,35.476
21,1,2021,30.842
22,1,2021,33.001
23,1,2021,32.089
24,1,2021,32.241
25,1,2021,32.252
26,1,2021,32.502
27,1,2021,30.404
28,1,2021,33.375
29,1,2021,34.302
30,1,2021,34.283
31,1,2021,33.108
1,2,2021,33.516
2,2,2021,35.485
3,2,2021,37.647
4,2,2021,36.982
5,2,2021,38.298
6,2,2021,39.257
7,2,2021,38.853
8,2,2021,46.396
9,2,2021,46.509
10,2,2021,44.836
11,2,2021,47.991
12,2,2021,47.372
13,2,2021,47.169
14,2,2021,48.643
15,2,2021,47.936
16,2,2021,49.170
17,2,2021,52.079
18,2,2021,51.582
19,2,2021,55.907
20,2,2021,55.924
21,2,2021,57.434
22,2,2021,54.112
23,2,2021,48.911
24,2,2021,49.698
25,2,2021,46.929
26,2,2021,46.346
27,2,2021,46.137
28,2,2021,45.164
1,3,2021,49.596
2,3,2021,48.424
3,3,2021,50.395
4,3,2021,48.428
5,3,2021,48.793
6,3,2021,48.856
7,3,2021,50.982
8,3,2021,52.311
9,3,2021,54.879
10,3,2021,55.852
11,3,2021,57.800
12,3,2021,57.265
13,3,2021,61.195
14,3,2021,59.114
15,3,2021,55.791
16,3,2021,56.890
17,3,2021,58.914
18,3,2021,57.656
19,3,2021,58.088
20,3,2021,58.093
21,3,2021,57.384
22,3,2021,54.158
23,3,2021,54.453
24,3,2021,52.325
25,3,2021,51.322
26,3,2021,55.036
27,3,2021,55.863
28,3,2021,55.765
29,3,2021,57.616
30,3,2021,58.771
31,3,2021,58.764
1,4,2021,58.718
2,4,2021,58.977
3,4,2021,57.060
4,4,2021,58.200
5,4,2021,58.993
6,4,2021,57.996
7,4,2021,55.949
8,4,2021,58.077
9,4,2021,58.119
10,4,2021,59.748
11,4,2021,59.979
12,4,2021,59.864
13,4,2021,63.541
14,4,2021,62.980
15,4,2021,63.216
16,4,2021,61.380
17,4,2021,60.042
18,4,2021,56.207
19,4,2021,55.646
20,4,2021,56.483
21,4,2021,53.820
22,4,2021,51.730
23,4,2021,51.144
24,4,2021,50.089
25,4,2021,48.964
26,4,2021,54.021
27,4,2021,55.037
28,4,2021,54.841
29,4,2021,53.561
30,4,2021,57.720
1,5,2021,57.807
2,5,2021,56.604
3,5,2021,57.170
4,5,2021,53.742
5,5,2021,57.441
6,5,2021,56.405
7,5,2021,57.337
8,5,2021,58.840
9,5,2021,58.238
10,5,2021,55.849
11,5,2021,56.696
12,5,2021,49.384
13,5,2021,49.705
14,5,2021,49.840
15,5,2021,46.709
16,5,2021,46.426
17,5,2021,43.541
18,5,2021,42.897
19,5,2021,36.721
20,5,2021,40.717
21,5,2021,37.297
22,5,2021,37.448
23,5,2021,34.680
24,5,2021,38.751
25,5,2021,38.378
26,5,2021,39.249
27,5,2021,38.417
28,5,2021,35.663
29,5,2021,34.585
30,5,2021,35.653
31,5,2021,37.299
1,6,2021,36.688
2,6,2021,37.556
3,6,2021,39.187
4,6,2021,36.851
5,6,2021,35.520
6,6,2021,35.815
7,6,2021,33.578
8,6,2021,33.383
9,6,2021,37.332
10,6,2021,36.649
11,6,2021,37.315
12,6,2021,35.468
13,6,2021,39.023
14,6,2021,40.529
15,6,2021,40.156
16,6,2021,38.336
17,6,2021,38.052
18,6,2021,35.749
19,6,2021,35.513
20,6,2021,35.596
21,6,2021,31.692
22,6,2021,32.496
23,6,2021,33.674
24,6,2021,34.666
25,6,2021,31.594
26,6,2021,32.243
27,6,2021,34.679
28,6,2021,34.476
29,6,2021,35.835
30,6,2021,35.027
1,7,2021,33.544
2,7,2021,33.813
3,7,2021,34.743
4,7,2021,35.298
5,7,2021,33.688
6,7,2021,34.226
7,7,2021,33.868
8,7,2021,32.866
9,7,2021,33.797
10,7,2021,33.511
11,7,2021,34.228
12,7,2021,33.113
13,7,2021,32.728
14,7,2021,32.821
15,7,2021,31.841
16,7,2021,31.394
17,7,2021,31.519
18,7,2021,31.785
19,7,2021,30.837
20,7,2021,29.794
21,7,2021,32.131
22,7,2021,32.299
23,7,2021,33.603
24,7,2021,33.825
25,7,2021,35.391
26,7,2021,37.277
27,7,2021,39.452
28,7,2021,40.003
29,7,2021,40.001
30,7,2021,42.203
31,7,2021,41.554
1,8,2021,39.878
2,8,2021,39.168
3,8,2021,38.130
4,8,2021,39.737
5,8,2021,40.867
6,8,2021,42.795
7,8,2021,44.614
8,8,2021,43.793
9,8,2021,46.284
10,8,2021,45.594
11,8,2021,45.564
12,8,2021,44.403
13,8,2021,47.809
14,8,2021,47.082
15,8,2021,46.991
16,8,2021,45.996
17,8,2021,44.692
18,8,2021,44.724
19,8,2021,46.756
20,8,2021,49.324
21,8,2021,48.876
22,8,2021,49.255
23,8,2021,49.540
24,8,2021,47.715
25,8,2021,48.995
26,8,2021,46.832
27,8,2021,49.064
28,8,2021,48.897
29,8,2021,48.777
30,8,2021,46.993
31,8,2021,47.130
1,9,2021,48.819
2,9,2021,49.274
3,9,2021,49.999
4,9,2021,49.918
5,9,2021,51.769
6,9,2021,52.672
7,9,2021,46.780
8,9,2021,46.061
9,9,2021,46.386
10,9,2021,44.843
11,9,2021,45.162
12,9,2021,46.062
13,9,2021,44.950
14,9,2021,47.078
15,9,2021,48.131
16,9,2021,47.748
17,9,2021,47.283
18,9,2021,48.307
19,9,2021,47.239
20,9,2021,42.871
21,9,2021,40.651
22,9,2021,43.552
23,9,2021,44.869
24,9,2021,42.820
25,9,2021,42.687
26,9,2021,43.203
27,9,2021,42.173
28,9,2021,41.022
29,9,2021,41.537
30,9,2021,43.823
1,10,2021,48.146
2,10,2021,47.667
3,10,2021,48.200
4,10,2021,49.227
5,10,2021,51.469
6,10,2021,55.323
7,10,2021,53.784
8,10,2021,53.915
9,10,2021,54.943
10,10,2021,54.688
11,10,2021,57.477
12,10,2021,56.016
13,10,2021,57.380
14,10,2021,57.346
15,10,2021,61.673
16,10,2021,60.861
17,10,2021,61.528
18,10,2021,62.056
19,10,2021,64.279
20,10,2021,65.979
21,10,2021,62.210
22,10,2021,60.690
23,10,2021,61.313
24,10,2021,60.972
