Dia,Mês,Ano,Preço
29,1,2021,5.4625
28,1,2021,5.441
27,1,2021,5.4138
26,1,2021,5.3552
25,1,2021,5.4665
22,1,2021,5.4666
21,1,2021,5.3506
20,1,2021,5.2917
19,1,2021,5.3578
18,1,2021,5.2957
15,1,2021,5.2927
14,1,2021,5.1967
13,1,2021,5.299
12,1,2021,5.3226
11,1,2021,5.489
8,1,2021,5.4178
7,1,2021,5.4101
6,1,2021,5.3139
5,1,2021,5.2854
4,1,2021,5.2968
1,1,2021,5.1935
26,2,2021,5.5986
25,2,2021,5.5308
24,2,2021,5.4062
23,2,2021,5.4409
22,2,2021,5.4659
19,2,2021,5.3823
18,2,2021,5.427
17,2,2021,5.4105
16,2,2021,5.3695
12,2,2021,5.3698
11,2,2021,5.3665
10,2,2021,5.386
9,2,2021,5.3781
8,2,2021,5.3657
5,2,2021,5.3704
4,2,2021,5.4266
3,2,2021,5.3534
2,2,2021,5.368
1,2,2021,5.4322
31,3,2021,5.6315
30,3,2021,5.7745
29,3,2021,5.7799
26,3,2021,5.7566
25,3,2021,5.6475
24,3,2021,5.6209
23,3,2021,5.5214
22,3,2021,5.5045
19,3,2021,5.4917
18,3,2021,5.5604
17,3,2021,5.5832
16,3,2021,5.6246
15,3,2021,5.6156
12,3,2021,5.5518
11,3,2021,5.5357
10,3,2021,5.672
9,3,2021,5.8025
8,3,2021,5.8755
5,3,2021,5.6908
4,3,2021,5.6693
3,3,2021,5.6193
2,3,2021,5.6761
1,3,2021,5.6418
30,4,2021,5.4366
29,4,2021,5.3375
28,4,2021,5.343
27,4,2021,5.449
26,4,2021,5.4364
23,4,2021,5.4751
22,4,2021,5.4448
21,4,2021,5.569
20,4,2021,5.5687
19,4,2021,5.5461
16,4,2021,5.5883
15,4,2021,5.6162
14,4,2021,5.6526
13,4,2021,5.7166
12,4,2021,5.7333
9,4,2021,5.6821
8,4,2021,5.572
7,4,2021,5.6143
6,4,2021,5.5904
5,4,2021,5.6632
2,4,2021,5.7075
1,4,2021,5.7071
31,5,2021,5.2172
28,5,2021,5.2252
27,5,2021,5.2383
26,5,2021,5.3115
25,5,2021,5.332
24,5,2021,5.3175
21,5,2021,5.3617
20,5,2021,5.2825
19,5,2021,5.3094
18,5,2021,5.2605
17,5,2021,5.2729
14,5,2021,5.2728
13,5,2021,5.309
12,5,2021,5.3061
11,5,2021,5.2208
10,5,2021,5.2272
7,5,2021,5.2368
6,5,2021,5.276
5,5,2021,5.3542
4,5,2021,5.4435
3,5,2021,5.442
30,6,2021,4.9686
29,6,2021,4.9559
28,6,2021,4.9244
25,6,2021,4.9335
24,6,2021,4.9137
23,6,2021,4.9667
22,6,2021,4.9574
21,6,2021,5.013
18,6,2021,5.0907
17,6,2021,5.1959
16,6,2021,5.0545
15,6,2021,5.0453
14,6,2021,5.0601
11,6,2021,5.1171
10,6,2021,5.0552
9,6,2021,5.0621
8,6,2021,5.0325
7,6,2021,5.0451
4,6,2021,5.0495
3,6,2021,5.0775
2,6,2021,5.0754
1,6,2021,5.1509
30,7,2021,5.2123
29,7,2021,5.0812
28,7,2021,5.1157
27,7,2021,5.169
26,7,2021,5.1761
23,7,2021,5.2006
22,7,2021,5.2003
21,7,2021,5.1874
20,7,2021,5.2205
19,7,2021,5.2519
16,7,2021,5.1147
15,7,2021,5.1118
14,7,2021,5.0706
13,7,2021,5.1622
12,7,2021,5.173
8,7,2021,5.2579
7,7,2021,5.2315
6,7,2021,5.1969
5,7,2021,5.091
2,7,2021,5.0575
1,7,2021,5.0476
31,8,2021,5.1492
30,8,2021,5.184
27,8,2021,5.1996
26,8,2021,5.2522
25,8,2021,5.2117
24,8,2021,5.2463
23,8,2021,5.3802
20,8,2021,5.377
19,8,2021,5.4142
18,8,2021,5.3794
17,8,2021,5.2948
16,8,2021,5.2595
13,8,2021,5.2466
12,8,2021,5.2524
11,8,2021,5.2185
10,8,2021,5.1895
9,8,2021,5.2331
6,8,2021,5.2301
5,8,2021,5.2488
4,8,2021,5.1685
3,8,2021,5.1967
2,8,2021,5.1747
30,9,2021,5.4428
29,9,2021,5.4157
28,9,2021,5.4293
27,9,2021,5.3914
24,9,2021,5.3344
23,9,2021,5.303
22,9,2021,5.2888
21,9,2021,5.2699
20,9,2021,5.324
17,9,2021,5.2883
16,9,2021,5.2535
15,9,2021,5.2219
14,9,2021,5.2398
13,9,2021,5.2147
10,9,2021,5.2454
9,9,2021,5.1976
8,9,2021,5.3214
7,9,2021,5.1692
6,9,2021,5.1693
3,9,2021,5.1923
2,9,2021,5.1819
1,9,2021,5.1858
22,10,2021,5.6474
21,10,2021,5.6577
20,10,2021,5.5975
19,10,2021,5.5844
18,10,2021,5.5117
15,10,2021,5.4611
14,10,2021,5.5132
13,10,2021,5.5133
12,10,2021,5.5325
11,10,2021,5.5367
8,10,2021,5.5082
7,10,2021,5.5188
6,10,2021,5.4912
5,10,2021,5.4748
4,10,2021,5.4535
1,10,2021,5.3639
